County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
42,Hardin,7,9,AGWSR Comm School District,13,35,48,72.9
39,Guthrie,11,18,Adair-Casey Comm School District,8,49,57,86
25,Dallas,11,27,Adel DeSoto Minburn Comm School District,22,112,134,83.6
75,Plymouth,12,63,Akron Westfield Comm School District,10,35,45,77.8
11,Buena Vista,5,72,Albert City-Truesdale Comm School District,0,0,0,
68,Monroe,15,81,Albia Comm School District,15,72,87,82.8
57,Linn,10,99,Alburnett Comm School District,12,32,44,72.7
42,Hardin,7,108,Alden Comm School District,0,0,0,
55,Kossuth,5,126,Algona Comm School District,40,68,108,63
3,Allamakee,1,135,Allamakee Comm School District,12,77,89,86.5
12,Butler,7,153,North Butler Comm School District,10,33,43,76.7
11,Buena Vista,5,171,Alta-Aurelia Comm School District,10,47,57,82.5
85,Story,11,225,Ames Comm School District,65,248,313,79.2
53,Jones,10,234,Anamosa Comm School District,19,81,100,81
49,Jackson,9,243,Andrew Comm School District,small N,small N,small N,small N
77,Polk,11,261,Ankeny Comm School District,147,744,891,83.5
12,Butler,7,279,Aplington-Parkersburg Comm School District,27,38,65,58.5
32,Emmet,5,333,North Union Comm School District,0,0,0,
24,Crawford,12,355,Ar-We-Va Comm School District,2,11,13,84.6
15,Cass,13,387,Atlantic Comm School District,39,76,115,66.1
5,Audubon,11,414,Audubon Comm School District,8,26,34,76.5
78,Pottawattamie,13,441,AHSTW Comm School District,6,37,43,86
85,Story,11,472,Ballard Comm School District,26,88,114,77.2
50,Jasper,11,513,Baxter Comm School District,12,28,40,70
38,Grundy,7,540,BCLUW Comm School District,5,33,38,86.8
87,Taylor,13,549,Bedford Comm School District,8,23,31,74.2
6,Benton,10,576,Belle Plaine Comm School District,8,34,42,81
49,Jackson,9,585,Bellevue Comm School District,14,36,50,72
99,Wright,7,594,Belmond-Klemme Comm School District,28,35,63,55.6
16,Cedar,9,603,Bennett Comm School District,0,0,0,
6,Benton,10,609,Benton Comm School District,22,80,102,78.4
82,Scott,9,621,Bettendorf Comm School District,82,291,373,78
90,Wapello,15,657,Eddyville-Blakesburg- Fremont CSD,19,43,62,69.4
77,Polk,11,720,Bondurant-Farrar Comm School District,35,130,165,78.8
8,Boone,11,729,Boone Comm School District,46,99,145,68.3
84,Sioux,12,747,Boyden-Hull Comm School District,9,44,53,83
41,Hancock,7,819,West Hancock Comm School District,4,37,41,90.2
79,Poweshiek,7,846,Brooklyn-Guernsey-Malcom Comm School District,13,32,45,71.1
95,Winnebago,7,873,North Iowa Comm School District,20,7,27,25.9
29,Des Moines,15,882,Burlington Comm School District,101,123,224,54.9
15,Cass,13,914,CAM Comm School District,32,51,83,61.4
35,Franklin,7,916,CAL Comm School District,0,0,0,
23,Clinton,9,918,Calamus-Wheatland Comm School District,3,26,29,89.7
23,Clinton,9,936,Camanche Comm School District,28,57,85,67.1
90,Wapello,15,977,Cardinal Comm School District,26,32,58,55.2
91,Warren,11,981,Carlisle Comm School District,43,125,168,74.4
14,Carroll,11,999,Carroll Comm School District,20,111,131,84.7
7,Black Hawk,7,1044,Cedar Falls Comm School District,43,350,393,89.1
57,Linn,10,1053,Cedar Rapids Comm School District,391,685,"1,076",63.7
57,Linn,10,1062,Center Point-Urbana Comm School District,13,96,109,88.1
4,Appanoose,15,1071,Centerville Comm School District,32,61,93,65.6
56,Lee,15,1079,Central Lee Comm School District,18,71,89,79.8
22,Clayton,1,1080,Central Comm School District,14,22,36,61.1
23,Clinton,9,1082,Central DeWitt School District,13,105,118,89
57,Linn,10,1089,Central City Comm School District,9,21,30,70
27,Decatur,13,1093,Central Decatur Comm School District,19,45,64,70.3
60,Lyon,12,1095,Central Lyon Comm School District,7,50,57,87.7
59,Lucas,15,1107,Chariton Comm School District,15,68,83,81.9
34,Floyd,7,1116,Charles City Comm School District,62,67,129,51.9
24,Crawford,12,1134,Charter Oak-Ute Comm School District,4,8,12,66.7
18,Cherokee,12,1152,Cherokee Comm School District,15,71,86,82.6
73,Page,13,1197,Clarinda Comm School District,29,57,86,66.3
99,Wright,5,1206,Clarion-Goldfield-Dows Comm School District,12,51,63,81
20,Clarke,13,1211,Clarke Comm School District,27,75,102,73.5
12,Butler,7,1215,Clarksville Comm School District,5,13,18,72.2
21,Clay,5,1218,Clay Central-Everly Comm School District,6,8,14,57.1
52,Johnson,10,1221,Clear Creek Amana Comm School District,28,129,157,82.2
17,Cerro Gordo,7,1233,Clear Lake Comm School District,22,79,101,78.2
23,Clinton,9,1278,Clinton Comm School District,90,131,221,59.3
50,Jasper,11,1332,Colfax-Mingo Comm School District,16,31,47,66
57,Linn,10,1337,College Comm School District,147,291,438,66.4
85,Story,11,1350,Collins-Maxwell Comm School District,13,17,30,56.7
85,Story,11,1359,Colo-NESCO Comm School District,8,19,27,70.4
58,Louisa,9,1368,Columbus Comm School District,22,17,39,43.6
14,Carroll,11,1413,Coon Rapids-Bayard Comm School District,8,16,24,66.7
2,Adams,13,1431,Corning Comm School District,0,0,0,
78,Pottawattamie,13,1476,Council Bluffs Comm School District,229,436,665,65.6
88,Union,13,1503,Creston Comm School District,25,83,108,76.9
25,Dallas,11,1576,Dallas Center-Grimes Comm School District,24,187,211,88.6
29,Des Moines,15,1602,Danville Comm School District,11,32,43,74.4
82,Scott,9,1611,Davenport Comm School District,500,503,"1,003",50.1
26,Davis,15,1619,Davis County Comm School District,25,80,105,76.2
96,Winneshiek,1,1638,Decorah Community School District,20,116,136,85.3
23,Clinton,9,1675,Delwood Comm School District,0,0,0,
24,Crawford,12,1701,Denison Comm School District,37,132,169,78.1
9,Bremer,7,1719,Denver Comm School District,2,57,59,96.6
77,Polk,11,1737,Des Moines Independent Comm School District,"1,030","1,112","2,142",51.9
80,Ringgold,13,1782,Diagonal Comm School District,1,11,12,91.7
38,Grundy,7,1791,Dike-New Hartford Comm School District,19,40,59,67.8
31,Dubuque,1,1863,Dubuque Comm School District,212,536,748,71.7
7,Black Hawk,7,1908,Dunkerton Comm School District,5,23,28,82.1
43,Harrison,13,1917,Boyer Valley Comm School District,15,16,31,51.6
16,Cedar,9,1926,Durant Comm School District,17,34,51,66.7
99,Wright,5,1944,Eagle Grove Comm School District,29,33,62,53.2
61,Madison,11,1953,Earlham Comm School District,7,24,31,77.4
10,Buchanan,7,1963,East Buchanan Comm School District,19,23,42,54.8
49,Jackson,9,1965,Easton Valley Comm School District,15,23,38,60.5
64,Marshall,7,1968,East Marshall Comm School District,11,47,58,81
88,Union,13,1970,East Union Comm School District,6,27,33,81.8
3,Allamakee,1,1972,Eastern Allamakee Comm School District,5,18,23,78.3
97,Woodbury,12,1975,River Valley Comm School District,13,21,34,61.8
28,Delaware,1,1989,Edgewood-Colesburg Comm School District,6,28,34,82.4
42,Hardin,7,2007,Eldora-New Providence Comm School District,small N,small N,small N,small N
74,Palo Alto,5,2088,Emmetsburg Comm School District,18,42,60,70
48,Iowa,10,2097,English Valleys Comm School District,11,21,32,65.6
73,Page,13,2113,Essex Comm School District,5,11,16,68.8
32,Emmet,5,2124,Estherville Lincoln Central Com Sch Dist,38,52,90,57.8
83,Shelby,11,2151,Exira-Elk Horn- Kimballton Comm Sch Dist,9,22,31,71
51,Jefferson,15,2169,Fairfield Comm School District,43,92,135,68.1
95,Winnebago,7,2295,Forest City Comm School District,3,71,74,95.9
94,Webster,5,2313,Fort Dodge Comm School District,144,116,260,44.6
56,Lee,15,2322,Fort Madison Comm School District,57,81,138,58.7
36,Fremont,13,2369,Fremont-Mills Comm School District,5,24,29,82.8
47,Ida,12,2376,Galva-Holstein Comm School District,0,0,0,
41,Hancock,7,2403,Garner-Hayfield-Ventura Comm School District,27,54,81,66.7
60,Lyon,12,2457,George-Little Rock Comm School District,21,17,38,44.7
85,Story,11,2466,Gilbert Comm School District,6,130,136,95.6
46,Humboldt,5,2493,Gilmore City-Bradgate Comm School District,0,0,0,
38,Grundy,7,2502,Gladbrook-Reinbeck Comm School District,6,28,34,82.4
65,Mills,13,2511,Glenwood Comm School District,45,118,163,72.4
14,Carroll,11,2520,Glidden-Ralston Comm School District,13,4,17,23.5
74,Palo Alto,5,2556,Graettinger-Terril Comm School District,15,12,27,44.4
1,Adair,13,2673,Nodaway Valley Comm School District,10,29,39,74.4
86,Tama,7,2682,GMG Comm School District,12,21,33,63.6
79,Poweshiek,7,2709,Grinnell-Newburg Comm School District,22,102,124,82.3
15,Cass,13,2718,Griswold Comm School District,5,22,27,81.5
38,Grundy,7,2727,Grundy Center Comm School District,4,41,45,91.1
39,Guthrie,11,2754,Guthrie Center Comm School District,0,0,0,
22,Clayton,1,2763,Clayton Ridge Comm School District,27,52,79,65.8
48,Iowa,10,2766,H-L-V Comm School District,4,17,21,81
48,Iowa,13,2772,Hamburg Comm School District,4,10,14,71.4
35,Franklin,7,2781,Hampton-Dumont Comm School District,37,65,102,63.7
